    EGEXEV, 4.303, 23.676, 25.196, P212121
    EHAPOU, 41.213, 41.213, 6.463, R-3
    EHAQUZ, 3.806, 24.905, 22.774, Pbcn
    EHIQIX, 37.290, 37.290, 4.630, R-3
    EJERUI, 6.392, 39.810, 45.443, Fddd
    EJETES, 27.366, 32.347, 4.882, Fdd2
    EJIPAQ, 27.544, 4.077, 27.000, Pca21
  EKESAQ01, 18.169, 18.169, 3.568, R-3
  EKESAQ02, 18.110, 18.110, 3.514, R-3
  EKESAQ03, 18.110, 18.110, 3.443, R-3
    EKESEU, 18.190, 18.190, 3.620, R-3
  EKESIY09, 18.143, 18.143, 3.496, R-3
  EKESIY10, 18.122, 18.122, 3.483, R-3
    EKUBAQ, 22.223, 4.014, 20.126, P21/c
  EKUBAQ01, 22.223, 4.014, 20.126, P21/c
    ELAREQ, 31.037, 31.037, 5.695, R-3
    ELEGEI, 18.997, 18.997, 3.698, P4/n
    ELIGAH, 29.540, 4.613, 26.890, C2/c
    ELIZUX, 51.459, 51.459, 6.801, R-3
    ELONAX, 21.954, 21.954, 4.107, P42212
    ELONEB, 22.014, 22.014, 4.125, P42212
    ELOPUS, 20.006, 21.205, 3.882, P212121
    EMACIG, 38.920, 4.918, 38.530, C2/c
    EMANOY, 31.342, 5.815, 29.181, P21/c
    EMAQEQ, 25.844, 4.117, 24.109, C2/c
  EMAQEQ01, 25.844, 4.117, 24.109, C2/c
    EMOVIO, 4.645, 34.300, 38.669, P-1
    ENELOA, 40.040, 40.040, 3.674, R-3
    EPAYEA, 35.680, 5.733, 30.300, C2/c
    EPEDAG, 32.591, 32.591, 5.188, P31
    EPEJOB, 34.232, 34.232, 4.403, R-3
    EPERUN, 26.234, 4.913, 24.605, C2/c
    EPIVOR, 26.947, 5.111, 26.947, P21/n
    EPOLOM, 34.229, 34.229, 6.488, R-3
    EPUSIS, 46.262, 46.262, 8.386, R-3
    EQACAB, 24.023, 3.837, 21.093, C2/c
    EQAHAI, 41.708, 41.708, 8.194, I41/a
    EQAVAV, 20.788, 3.722, 23.885, P2/n
    EQUWAR, 28.204, 25.879, 3.804, Pna21
    ERILUO, 47.441, 5.658, 35.970, C2/c
    ERIPIH, 41.242, 7.730, 41.504, C2/c
    ERODUN, 23.452, 4.545, 22.939, C2/c
    EROLED, 21.225, 3.850, 25.353, C2/c
    ESEHOA, 35.836, 4.751, 42.120, C2/c
    ESOVIT, 37.210, 4.000, 28.450, C2/c
    ETAGUE, 35.395, 35.395, 6.292, P42/n
    ETCNPD, 33.278, 33.278, 4.608, I41/a
    ETONEG, 23.987, 3.939, 22.965, Pna21
  ETONOS02, 29.316, 29.316, 5.099, P4/n
    ETUYAW, 21.467, 4.150, 21.214, Cc
    EVAPUP, 37.367, 37.367, 4.755, I41
    EVOMIL, 30.344, 3.668, 19.151, C2/c
    EWACOV, 25.520, 3.836, 31.309, Pca21
  EWEVIM02, 3.711, 25.309, 24.356, P21/c
  EWOFUT12, 28.821, 3.957, 22.085, C2/c
  EWOFUT13, 28.561, 3.898, 22.009, C2/c
  EWOFUT14, 28.644, 3.909, 22.041, C2/c
  EWOFUT15, 28.676, 3.916, 22.031, C2/c
  EWOFUT16, 28.708, 3.926, 22.026, C2/c
  EWOFUT17, 28.739, 3.938, 22.025, C2/c
    EXAVEG, 28.628, 4.218, 24.069, I2/a
    EXELUR, 25.215, 4.423, 26.064, C2/c
    EXIZET, 5.029, 35.848, 25.542, Cc
    EYIFAW, 3.775, 20.314, 20.701, P212121
    EYOHIL, 37.796, 4.434, 23.423, C2/c
    EYUGAI, 21.909, 3.790, 23.918, P2/n
  EYUXEB02, 43.822, 5.689, 48.331, P21/n
    EZAKIC, 42.777, 5.818, 30.898, C2/c
    EZUVAY, 24.202, 4.521, 24.218, P21/n
    FABKAV, 32.390, 44.374, 5.983, Fdd2
    FABTIP, 44.800, 44.800, 4.196, R-3
    FACDIZ, 54.637, 54.637, 8.946, R-3
    FACDOF, 54.581, 54.581, 8.908, R-3
    FACDUL, 54.772, 54.772, 8.873, R-3
  FACDUL01, 54.882, 54.882, 8.876, R-3
    FADTEN, 21.302, 43.351, 3.955, Fdd2
    FAFDAV, 33.989, 4.966, 24.864, C2/c
  FAFDAV01, 33.989, 4.966, 24.864, C2/c
    FAFJEC, 33.815, 4.976, 43.915, C2/c
    FAFMIK, 25.072, 46.996, 3.759, Fdd2
    FAFWIS, 34.666, 3.743, 20.737, C2/c
    FAJFOO, 21.100, 3.843, 25.414, I2/a
    FAKLEL, 32.264, 4.328, 22.602, C2/c
    FALWEW, 3.862, 22.111, 27.169, P-1
    FALWIA, 39.912, 3.868, 46.725, I2/a
    FALWOG, 39.846, 3.843, 46.673, I2/a
    FAMDIG, 29.807, 27.495, 3.814, Fdd2
  FAMDIG01, 27.357, 29.597, 3.745, Fdd2
    FAMPIU, 43.027, 43.027, 7.024, R-3
    FANGEK, 31.024, 4.186, 25.294, C2/c
    FAPHAJ, 43.325, 43.325, 7.102, R3
    FAPPOE, 32.210, 3.735, 26.357, C2/c
    FAPYEA, 21.614, 21.614, 3.881, I41
  FAPYEA01, 21.548, 21.548, 3.871, I41/a
  FAPYEA02, 21.566, 21.566, 3.801, I41/a
  FAPYEA03, 21.618, 21.618, 3.880, I41/a
  FAPYEA04, 21.606, 21.606, 3.881, I41/a
  FAPYEA05, 21.654, 21.654, 3.792, I41/a
  FAPYEA06, 21.621, 21.621, 3.878, I41/a
  FAPYEA07, 21.622, 21.622, 3.875, I41/a
